name,name,xP
Robin Olsen,,2.65
Rodri,,3.75
Rodrigo Muniz,,0.98
Ross Barkley,,2.9339999999999997
Ruben Dias,,2.69
Ryan Christie,,3.170000000000006
Ryan John Giles,,2.87
Sam Johnstone,,2.54
Sander Berge,,2.68
Sasa Lukic,,2.91
Sergio Gomez,,1.4099999999999975
Shandon Baptiste,,0.97
Tahith Chong,,3.41
Takehiro Tomiyasu,,0.95
Thiago Silva,,2.9
Thomas Cannon,,1.0
Thomas Kaminski,,2.83
Thomas Partey,,2.68
Tim Ream,,4.19
Timothy Castagne,,0.98
Tom Cairney,,0.87
Tom Lockyer,,2.81
Tosin Adarabioyo,,0.96
Trent Alexander Arnold,,3.5600000000000036
Tyler Onyango,,1.0
Tyrick Mitchell,,3.170000000000006
Tyrone Mings,,0.73
Virgil van Dijk,,3.24
Vitaly Janelt,,2.66
Vitinho,,3.2600000000000064
Wataru Endo,,0.9
Will Hughes,,1.089999999999998
William Saliba,,2.95
Willian,,0.99
Yoane Wissa,,5.8020000000000005
Youri Tielemans,,0.88
Youssef Chermiti,,1.43
Zeki Amdouni,,3.0030000000000054
