,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
10,Jeffrey Schlupp,gh GHA,FW,30-260,4,4,303,3.4,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,1,10,9,0,0,0,0,0,0.09,0.16,0.25,0.09,0.25
11,Jean-Philippe Mateta,fr FRA,FW,26-073,2,0,40,0.4,0,2,2,0,0,0,0,0,0,0,0.7,0.7,0,2,3,0,4.5,4.5,0,4.5,0,1.48,1.48,0,1.48
2,Bryan Mbeumo,cm CMR,FW,24-033,4,4,360,4,4,0,4,2,2,2,0,0,4.1,2.5,0.6,3.1,15,13,35,1,0,1,0.5,0.5,1.02,0.15,1.17,0.63,0.78
6,Yoane Wissa,cd COD,FW,27-006,4,4,329,3.7,2,0,2,2,0,0,0,0,2.4,2.4,0.1,2.5,6,4,20,0.55,0,0.55,0.55,0.55,0.65,0.02,0.67,0.65,0.67
10,Kevin Schade,de GER,FW,21-286,4,3,238,2.6,1,0,1,1,0,0,0,0,0.7,0.7,0.4,1.1,2,9,15,0.38,0,0.38,0.38,0.38,0.27,0.16,0.43,0.27,0.43
8,Taiwo Awoniyi,ng NGA,FW,26-028,4,3,247,2.7,3,1,4,3,0,0,0,0,1.8,1.8,0.5,2.3,3,6,11,1.09,0.36,1.46,1.09,1.46,0.65,0.18,0.83,0.65,0.83
14,Chris Wood,nz NZL,FW,31-276,4,0,44,0.5,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.2,1,1,0,2.05,0,2.05,2.05,2.05,0.24,0.14,0.38,0.24,0.38
5,Ollie Watkins,eng ENG,FW,27-253,4,4,320,3.6,0,2,2,0,0,0,0,0,1.8,1.8,1.3,3.1,5,3,18,0,0.56,0.56,0,0.56,0.5,0.37,0.86,0.5,0.86
16,Jhon Durán,co COL,FW,19-270,3,0,40,0.4,1,0,1,1,0,0,0,0,0.6,0.6,0,0.6,4,1,3,2.25,0,2.25,2.25,2.25,1.42,0.04,1.45,1.42,1.45
20,Jaden Philogene Bidace,eng ENG,FW,21-213,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
3,Marcus Rashford,eng ENG,FW,25-313,4,4,351,3.9,1,1,2,1,0,0,1,0,1.4,1.4,0.8,2.2,12,8,31,0.26,0.26,0.51,0.26,0.51,0.36,0.2,0.56,0.36,0.56
13,Anthony Martial,fr FRA,FW,27-278,3,2,131,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,4,12,0,0,0,0,0,0.05,0.06,0.1,0.05,0.1
16,Rasmus Højlund,dk DEN,FW,20-217,1,0,24,0.3,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,1,0,0,0,0,0,0,0,1.24,0,1.24,1.24,1.24
5,Nicolas Jackson,sn SEN,FW,22-081,4,4,352,3.9,1,0,1,1,0,0,3,0,3,3,0.4,3.4,16,8,34,0.26,0,0.26,0.26,0.26,0.77,0.1,0.87,0.77,0.87
17,Mason Burstow,eng ENG,FW,20-036,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,Harry Wilson,wls WAL,FW,26-171,4,4,330,3.7,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,5,11,19,0,0,0,0,0,0.04,0.1,0.14,0.04,0.14
5,Raúl Jiménez,mx MEX,FW,32-127,4,4,312,3.5,0,0,0,0,0,0,1,0,0.4,0.4,0.7,1.1,3,3,17,0,0,0,0,0,0.13,0.2,0.33,0.13,0.33
6,Bobby Reid,jm JAM,FW,30-219,4,3,271,3,1,0,1,1,0,0,1,0,1.7,1.7,0.1,1.8,8,5,14,0.33,0,0.33,0.33,0.33,0.57,0.02,0.58,0.57,0.58
17,Aleksandar Mitrović,rs SRB,FW,28-358,1,0,33,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,1,0,0,0,0,0,0,0.44,0,0.44,0.44,0.44
19,Rodrigo Muniz,br BRA,FW,22-128,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
