,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,name
664,Pablo,Fornals Malla,0,0,5,124,2,26,17.6,34,0,17,7.8,0,0,0,0.1,49,MID,Pablo Fornals Malla
669,Lucas,Tolentino Coelho de Lima,1,1,15,354,3,105.8,107.8,61,0,68,27.5,1,0,2,1.9,60,MID,Lucas Tolentino Coelho de Lima
671,Tomas,Soucek,0,1,10,218,2,42,64.6,22,2,43,12.9,0,0,0,0.8,50,MID,Tomáš Souček
672,Nikola,Vlašić,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,45,MID,Nikola Vlašić
675,Edson,Alvarez,0,0,4,182,2,14.5,49.4,5,0,26,6.8,0,0,1,0.1,50,MID,Edson Álvarez Velázquez
677,James,Ward-Prowse,1,3,22,260,3,48.6,123.6,53,3,87,22.5,0,0,1,6.7,61,MID,James Ward-Prowse
679,Mohammed,Kudus,0,0,1,1,1,0,3,0,0,5,0.3,0,0,0,0.2,65,MID,Mohammed Kudus
680,Tommy,Doyle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,MID,Tommy Doyle
685,Francisco Jorge,Tomás Oliveira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Francisco Jorge Tomás Oliveira
686,Luke,Cundle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Luke Cundle
689,Gonçalo Manuel,Ganchinho Guedes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,54,MID,Gonçalo Manuel Ganchinho Guedes
690,Joe,Hodge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,MID,Joe Hodge
692,Hwang,Hee-chan,2,0,13,137,3,21.8,72.2,68,0,49,16,0,0,1,0.1,54,MID,Hwang Hee-chan
693,João Victor,Gomes da Silva,0,0,6,311,7,35.5,33,21,0,42,9,1,0,2,0.1,50,MID,João Victor Gomes da Silva
695,Bruno,Cavaco Jordão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,44,MID,Bruno Cavaco Jordão
699,Mario,Lemina,0,0,7,360,8,35.6,53,28,0,52,11.7,1,0,2,0,50,MID,Mario Lemina
700,Pedro,Lomba Neto,0,3,20,360,8,202.3,109.4,106,3,98,41.7,1,0,1,0.3,55,MID,Pedro Lomba Neto
701,Daniel,Castelo Podence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,53,MID,Daniel Castelo Podence
703,Pablo,Sarabia,0,1,9,172,1,99.9,46.8,44,0,33,19.1,1,0,0,0.2,50,MID,Pablo Sarabia
707,Boubacar,Traore,0,0,1,16,2,2.1,1.4,2,0,2,0.6,0,0,0,0.4,44,MID,Boubacar Traoré
711,Enso,González,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,MID,Enso González
713,Jean-Ricner,Bellegarde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,MID,Jean-Ricner Bellegarde
