,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,name
298,Idrissa,Gueye,0,0,6,315,6,26.3,44.2,6,0,51,7.6,0,0,1,0,49,MID,Idrissa Gueye
301,Dwight,McNeil,0,0,1,15,0,2,0.6,2,0,-1,0.5,0,0,0,0,54,MID,Dwight McNeil
303,Amadou,Onana,0,0,8,360,8,63.3,37.6,28,0,61,13,0,0,0,0.2,49,MID,Amadou Onana
311,Arnaut,Danjuma Groeneveld,1,0,11,250,6,28.5,51.8,167,0,21,24.8,0,0,0,0.2,55,MID,Arnaut Danjuma Groeneveld
312,Lewis,Dobbin,0,0,5,117,2,13,13.2,25,0,12,5.1,1,0,0,0.1,45,MID,Lewis Dobbin
315,Tyler,Onyango,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,45,MID,Tyler Onyango
316,Jack,Harrison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,MID,Jack Harrison
318,Alex,Iwobi,0,0,3,140,3,55.2,24.4,48,0,13,12.8,0,0,0,0.3,54,MID,Alex Iwobi
319,Andreas,Hoelgebaum Pereira,1,1,15,251,7,41.8,39.6,17,0,44,9.8,1,0,1,1,55,MID,Andreas Hoelgebaum Pereira
320,Tom,Cairney,0,0,3,99,2,14,1.8,5,0,11,2.1,0,0,0,0,50,MID,Tom Cairney
321,Ivan,Neves Abreu Cavaleiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,MID,Ivan Neves Abreu Cavaleiro
322,Bobby,De Cordova-Reid,1,1,14,272,8,15.6,43.2,96,0,42,15.2,0,0,1,0.2,55,MID,Bobby De Cordova-Reid
324,Tyrese,Francois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,MID,Tyrese Francois
325,Anthony,Knockaert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,MID,Anthony Knockaert
328,Saša,Lukić,0,0,6,250,4,30.9,20.6,9,0,31,6,1,0,1,0.5,45,MID,Saša Lukić
332,Joao,Palhinha,1,0,10,113,3,4.5,58.6,22,3,33,8.6,0,0,1,0.2,50,MID,João Palhinha Gonçalves
334,Harrison,Reed,0,1,10,266,8,61.4,48.4,4,0,49,11.4,1,0,1,0.6,48,MID,Harrison Reed
340,Harry,Wilson,0,0,9,330,8,56.3,21.8,34,0,30,10.9,1,0,0,0.2,54,MID,Harry Wilson
342,Willian,Borges da Silva,0,0,2,84,2,14.4,3,1,0,3,1.7,0,0,1,0.3,53,MID,Willian Borges da Silva
346,Matthew,Dibley-Dias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Matthew Dibley-Dias
347,Adama,Traore,0,0,3,32,3,0.4,5.2,21,0,4,2.6,0,0,0,0.1,50,MID,Adama Traoré
348,Luke,Harris,0,0,2,74,5,0.7,3.2,17,0,2,2.1,0,0,0,0,45,MID,Luke Harris
355,Stefan,Bajcetic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,MID,Stefan Bajcetic
357,Diogo,Teixeira da Silva,1,2,18,197,2,51.3,48.6,116,2,52,21.6,0,0,1,2.8,80,MID,Diogo Teixeira da Silva
358,Harvey,Elliott,0,0,4,85,0,16.3,12.2,6,0,15,3.5,0,0,0,0.2,49,MID,Harvey Elliott
359,Fabio Henrique,Tavares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,MID,Fabio Henrique Tavares
362,Jordan,Henderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,MID,Jordan Henderson
363,Curtis,Jones,0,0,4,87,0,3.6,7.6,2,0,12,1.3,1,0,0,0.1,49,MID,Curtis Jones
366,Luis,Diaz,2,0,19,257,3,48.3,74.2,91,1,54,21.3,1,0,0,12.9,77,MID,Luis Díaz
367,Alexis,Mac Allister,0,0,4,309,3,33.3,45.6,0,0,36,7.9,1,1,1,5.3,60,MID,Alexis Mac Allister
371,Mohamed,Salah,2,2,23,341,3,101.2,131.8,222,0,75,45.5,1,0,0,25.8,125,MID,Mohamed Salah
372,Dominik,Szoboszlai,1,1,19,360,3,104.2,71,49,2,86,22.4,1,0,0,4.3,70,MID,Dominik Szoboszlai
373,Thiago,Alcantara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,49,MID,Thiago Alcántara do Nascimento
378,Bobby,Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Bobby Clark
379,Ben,Doak,0,0,1,13,0,0.8,0.2,0,0,3,0.1,0,0,0,0.1,45,MID,Ben Doak
380,James,McConnell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,James McConnell
381,Wataru,Endo,0,0,3,87,1,2.1,14.2,0,0,14,1.6,0,0,0,0.1,55,MID,Wataru Endo
382,Ryan,Gravenberch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,MID,Ryan Gravenberch
383,Albert,Sambi Lokonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,MID,Albert Sambi Lokonga
384,Marvelous,Nakamba,0,0,4,270,9,61.1,40,2,0,37,10.3,0,0,2,1,44,MID,Marvelous Nakamba
388,Luke,Berry,0,0,1,2,1,0,0,0,0,3,0,0,0,0,0,48,MID,Luke Berry
390,Allan,Campbell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,MID,Allan Campbell
391,Jordan,Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,MID,Jordan Clark
393,Luke,Freeman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,MID,Luke Freeman
396,Carlos,Mendes Gomes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Carlos Mendes Gomes
400,Fred,Onyedinma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,MID,Fred Onyedinma
403,Dion,Pereira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,MID,Dion Pereira
405,Glen,Rea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,MID,Glen Rea
408,Elliot,Thorpe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Elliot Thorpe
410,Louie,Watson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,44,MID,Louie Watson
415,Pelly Ruddock,Mpanzu,0,0,4,119,4,2,2.2,20,0,4,2.2,0,0,0,0,49,MID,Pelly Ruddock Mpanzu
416,Tahith,Chong,0,0,6,246,7,8.3,11.8,17,0,8,3.4,0,0,0,0.1,50,MID,Tahith Chong
419,Ross,Barkley,0,0,4,146,4,64.8,10.2,17,0,17,8.9,0,0,0,0.1,50,MID,Ross Barkley
427,Bernardo,Veiga de Carvalho e Silva,0,0,5,194,1,69.9,22.2,10,0,27,10.2,1,0,1,1.9,64,MID,Bernardo Veiga de Carvalho e Silva
428,Oscar,Bobb,0,0,1,1,0,0.8,2.4,2,0,5,0.5,0,0,0,0,44,MID,Oscar Bobb
431,Shea,Charles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Shea Charles
432,Kevin,De Bruyne,0,0,1,22,0,18.8,2.4,1,0,4,2.2,0,0,0,2,102,MID,Kevin De Bruyne
435,Phil,Foden,0,3,21,273,1,167.1,92,82,3,78,34.2,2,0,0,13.8,76,MID,Phil Foden
436,Jack,Grealish,0,1,10,180,1,83.4,44.4,52,2,40,18,1,0,0,3.6,73,MID,Jack Grealish
438,Mateo,Kovacic,0,0,10,325,2,72.6,39.8,18,0,69,13.1,2,0,0,0.9,49,MID,Mateo Kovačić
441,Riyad,Mahrez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,75,MID,Riyad Mahrez
443,Máximo,Perrone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,MID,Máximo Perrone
444,Kalvin,Phillips,0,0,1,6,0,0.9,4.2,0,0,6,0.5,0,0,0,0,49,MID,Kalvin Phillips
445,Rodrigo,Hernandez,2,1,27,345,2,55.3,150.4,103,5,107,30.9,2,0,1,12.6,57,MID,Rodrigo Hernandez
450,Matheus Luiz,Nunes,0,0,1,180,5,45.8,29.4,14,0,15,8.9,0,1,0,0.1,50,MID,Matheus Luiz Nunes
452,Jeremy,Doku,0,0,2,75,1,6.8,12,0,0,9,1.9,0,0,0,0.1,65,MID,Jérémy Doku
453,Mason,Mount,0,0,5,151,2,30,11,2,0,16,4.3,1,0,0,1.2,68,MID,Mason Mount
455,Amad,Diallo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,MID,Amad Diallo
456,Antony Matheus,dos Santos,0,0,8,308,4,96.8,33.6,63,0,31,19.3,1,0,1,1,68,MID,Antony Matheus dos Santos
457,Bruno,Borges Fernandes,1,1,18,360,7,188.6,129,85,3,75,40.1,1,0,2,21.5,84,MID,Bruno Borges Fernandes
460,Carlos Henrique,Casimiro,1,0,14,360,7,40.4,126.6,90,0,60,25.7,1,0,0,3.9,54,MID,Carlos Henrique Casimiro
462,Christian,Eriksen,1,1,18,226,6,57.8,92.6,37,4,68,18.8,0,0,0,0.5,59,MID,Christian Eriksen
464,Frederico,Rodrigues de Paula Santos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,50,MID,Frederico Rodrigues de Paula Santos
465,Alejandro,Garnacho,0,0,6,138,3,16.2,7.4,57,0,13,7.8,1,0,0,1.6,49,MID,Alejandro Garnacho
466,Hannibal,Mejbri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,MID,Hannibal Mejbri
470,Kobbie,Mainoo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,MID,Kobbie Mainoo
474,Scott,McTominay,0,0,2,7,0,10.4,10.8,0,0,7,2.2,0,0,0,0.1,49,MID,Scott McTominay
475,Facundo,Pellistri Rebollo,0,0,2,18,0,1.4,2.2,13,0,5,1.7,0,0,0,0.1,44,MID,Facundo Pellistri Rebollo
477,Marcus,Rashford,1,2,19,351,7,67,78,144,0,42,28.9,1,0,1,35.9,89,MID,Marcus Rashford
478,Jadon,Sancho,0,0,3,76,1,14.8,9.8,12,0,11,3.6,0,0,0,0.7,68,MID,Jadon Sancho
481,Donny,van de Beek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,MID,Donny van de Beek
486,Omari,Forson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Omari Forson
488,Daniel,Gore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Daniel Gore
491,Sofyan,Amrabat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,MID,Sofyan Amrabat
493,Miguel,Almiron,0,0,7,317,5,53.2,20,64,0,35,13.6,0,0,0,5,64,MID,Miguel Almirón Rejala
494,Elliot,Anderson,0,0,4,64,3,27.3,19.4,8,0,17,5.5,0,0,0,3.8,44,MID,Elliot Anderson
497,Bruno,Guimaries,0,0,6,354,7,47.5,38.4,18,0,34,10.4,0,0,2,2.4,59,MID,Bruno Guimarães Rodriguez Moura
501,Ryan,Fraser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,MID,Ryan Fraser
503,Anthony,Gordon,1,1,15,283,5,75,76.4,64,2,47,21.1,1,0,3,1.2,55,MID,Anthony Gordon
504,Isaac,Hayden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,MID,Isaac Hayden
505,Jeff,Hendrick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,MID,Jeff Hendrick
507,Joelinton Cássio,Apolinário de Lira,0,0,5,284,4,67.4,36.8,46,0,37,15,0,0,1,0.6,59,MID,Joelinton Cássio Apolinário de Lira
509,Garang,Kuol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Garang Kuol
512,Sean,Longstaff,0,1,7,88,4,35.1,40.8,26,0,27,10.3,0,0,0,0.2,49,MID,Sean Longstaff
514,Jacob,Murphy,0,1,4,4,0,26.3,21.6,2,0,19,5,0,0,0,0.2,49,MID,Jacob Murphy
516,Matt,Ritchie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,44,MID,Matt Ritchie
517,Allan,Saint-Maximin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,MID,Allan Saint-Maximin
520,Sandro,Tonali,1,0,11,284,3,49,59,50,0,51,15.9,1,0,2,3.1,55,MID,Sandro Tonali
523,Joe,Willock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,54,MID,Joe Willock
527,Harvey,Barnes,1,1,13,90,2,25.2,54,40,2,41,11.9,0,0,1,2.9,64,MID,Harvey Barnes
