,name,season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Att,Cmp%,PrgP,Carries,PrgC,Att,Att,Succ,Match Report
1,Julian Alvarez,2023/2024,2023-08-11,Fri,Premier League,Matchweek 1,Away,W 3–0,Manchester City,Burnley,Y,"['LM', 'AM', 'FW']",90,0,1,0,0,3,1,0,0,53.0,1.0,0,1.0,0.3,0.3,0.3,6.0,1.0,36.0,44.0,0.0,81.8,2.0,25.0,2.0,44.0,0.0,0.0,Match Report
1,Erling Haaland,2023/2024,2023-08-11,Fri,Premier League,Matchweek 1,Away,W 3–0,Manchester City,Burnley,Y,['FW'],79,2,0,0,0,4,2,0,0,18,0,0,0,0.6,0.6,0.3,3,0,9,11,0,81.8,1,15,1,11,0,0,Match Report
3,Erling Haaland,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Home,W 1–0,Manchester City,Newcastle Utd,Y,['FW'],90,0,0,0,0,4,2,0,0,22,0,1,1,0.4,0.4,0.1,2,0,6,11,1,54.5,1,15,3,11,1,0,Match Report
4,Erling Haaland,2023/2024,2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Manchester City,Sheffield Utd,Y,['FW'],90,1,0,0,1,7,3,0,0,23,0,0,0,2.1,1.3,0.1,2,1,6,11,1,54.5,0,15,0,11,1,1,Match Report
5,Erling Haaland,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Home,W 5–1,Manchester City,Fulham,Y,['FW'],90,3,1,1,1,3,2,0,0,17,0,0,0,1.6,0.8,0.7,2,1,4,6,1,66.7,1,9,0,6,1,0,Match Report
1,Son Heung min,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Home,W 2–0,Tottenham,Manchester Utd,Y*,"['LW', 'FW']",90,0,0,0,0,1.0,0.0,0,0,49.0,1.0,1.0,0.0,0.1,0.1,0.4,7.0,0.0,30.0,42.0,5.0,71.4,6.0,34.0,3.0,42.0,5.0,3.0,Match Report
2,Son Heung min,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 2–0,Tottenham,Bournemouth,Y*,"['LW', 'FW']",90,0,0,0,0,2.0,0.0,0,0,49.0,0.0,1.0,0.0,0.0,0.0,0.5,8.0,1.0,33.0,41.0,3.0,80.5,8.0,38.0,4.0,41.0,3.0,2.0,Match Report
4,Son Heung min,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Away,W 5–2,Tottenham,Burnley,Y*,['FW'],71,3,0,0,0,5.0,3.0,0,0,27.0,0.0,0.0,0.0,1.1,1.1,0.0,4.0,1.0,15.0,18.0,1.0,83.3,5.0,18.0,3.0,18.0,1.0,0.0,Match Report
0,Richarlison,2023/2024,2023-08-13,Sun,Premier League,Matchweek 1,Away,D 2–2,Tottenham,Brentford,Y,['FW'],90,0,0,0,0,2,1,0,0,30.0,0.0,0,0.0,0.2,0.2,0.0,1.0,0.0,13.0,18.0,5.0,72.2,1.0,21.0,1.0,18.0,5.0,3.0,Match Report
1,Richarlison,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Home,W 2–0,Tottenham,Manchester Utd,Y,['FW'],69,0,0,0,0,0,0,0,0,24.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,14.0,3.0,64.3,0.0,20.0,1.0,14.0,3.0,1.0,Match Report
