,name,season,Date_x,Day_x,Comp,Round,Venue_x,Result_x,Squad,Opponent_x,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_x,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,Date_y,Time,Day_y,Venue_y,Result_y,GF,GA,Opponent_y,xG_y,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,team_name
999,Vinicius Souza,2023/2024,2023-08-18,Fri,Premier League,Matchweek 2,Away,L 1–2,Sheffield Utd,Nott'ham Forest,Y,['CM'],57.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,50.0,5.0,2.0,1.0,0.1,0.1,0.0,2.0,0.0,29.0,37.0,78.4,2.0,18.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Vinicius Souza,2023/2024,2023-08-27,Sun,Premier League,Matchweek 3,Home,L 1–2,Sheffield Utd,Manchester City,Y,['CM'],90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,17.0,82.4,0.0,8.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Vinicius Souza,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Home,D 2–2,Sheffield Utd,Everton,Y,['CM'],90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,28.0,36.0,77.8,1.0,27.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,William Osula,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Home,L 0–1,Sheffield Utd,Crystal Palace,Y,['FW'],90,0,0,0,0,2,0,1,0,22,0,0,1,0.2,0.2,0.0,0,0,6,9,66.7,0,13,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,William Osula,2023/2024,2023-08-18,Fri,Premier League,Matchweek 2,Away,L 1–2,Sheffield Utd,Nott'ham Forest,Y,['FW'],73,0,0,0,0,1,0,0,0,18,0,0,1,0.0,0.0,0.0,1,0,5,9,55.6,0,9,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,William Osula,2023/2024,2023-08-27,Sun,Premier League,Matchweek 3,Home,L 1–2,Sheffield Utd,Manchester City,Y,['FW'],70,0,0,0,0,0,0,1,0,20,0,0,0,0.0,0.0,0.0,0,0,3,11,27.3,0,8,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,Ben Osborn,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Home,L 0–1,Sheffield Utd,Crystal Palace,Y,['LW'],86,0,0,0,0,1,0,0,0,41,2,0,6,0.1,0.1,0.0,0,0,11,22,50.0,3,11,0,1,0,Ben,Osborn,0.0,0.0,4.0,192.0,3.0,9.0,20.6,5.0,0.0,18.0,3.4,0.0,0.0,1.0,0.0,49.0,MID,,,,,,,,,,,,,,,,,,
1006,Ben Osborn,2023/2024,2023-08-18,Fri,Premier League,Matchweek 2,Away,L 1–2,Sheffield Utd,Nott'ham Forest,Y,['WB'],90,0,0,0,0,0,0,1,0,71,2,0,0,0.0,0.0,0.0,0,0,45,59,76.3,2,33,1,3,0,Ben,Osborn,0.0,0.0,4.0,192.0,3.0,9.0,20.6,5.0,0.0,18.0,3.4,0.0,0.0,1.0,0.0,49.0,MID,,,,,,,,,,,,,,,,,,
1007,Ben Osborn,2023/2024,2023-08-27,Sun,Premier League,Matchweek 3,Home,L 1–2,Sheffield Utd,Manchester City,Y,['WB'],16,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,1,1,0,0,0,Ben,Osborn,0.0,0.0,4.0,192.0,3.0,9.0,20.6,5.0,0.0,18.0,3.4,0.0,0.0,1.0,0.0,49.0,MID,,,,,,,,,,,,,,,,,,
1008,Max Lowe,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Home,L 0–1,Sheffield Utd,Crystal Palace,Y,['LM'],79,0,0,0,0,0,0,0,0,33,8,1,1,0.0,0.0,0.0,1,0,12,18,66.7,3,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,Max Lowe,2023/2024,2023-08-18,Fri,Premier League,Matchweek 2,Away,L 1–2,Sheffield Utd,Nott'ham Forest,Y,['WB'],45,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,0,0,2,6,33.3,1,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,Yasser Larouci,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Home,L 0–1,Sheffield Utd,Crystal Palace,N,"['LB', 'LM']",11,0,0,0,0,0,0,0,0,10.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Yasser Larouci,2023/2024,2023-08-18,Fri,Premier League,Matchweek 2,Away,L 1–2,Sheffield Utd,Nott'ham Forest,N,['WB'],45,0,0,0,0,0,0,0,0,28.0,2.0,2,1.0,0.0,0.0,0.0,1.0,0.0,11.0,16.0,68.8,1.0,14.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Yasser Larouci,2023/2024,2023-08-27,Sun,Premier League,Matchweek 3,Home,L 1–2,Sheffield Utd,Manchester City,N,['WB'],74,0,0,0,0,1,0,0,0,23.0,0.0,0,3.0,0.1,0.1,0.0,2.0,0.0,9.0,13.0,69.2,0.0,7.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,Yasser Larouci,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Home,D 2–2,Sheffield Utd,Everton,Y,['WB'],67,0,0,0,0,2,1,0,0,31.0,1.0,1,0.0,0.1,0.1,0.0,1.0,0.0,18.0,24.0,75.0,4.0,22.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,Chris Basham,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Home,L 0–1,Sheffield Utd,Crystal Palace,Y,['CM'],79,0,0,0,0,0,0,0,0,32.0,1.0,2,3.0,0.0,0.0,0.0,0.0,0.0,18.0,21.0,85.7,1.0,12.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,Chris Basham,2023/2024,2023-08-18,Fri,Premier League,Matchweek 2,Away,L 1–2,Sheffield Utd,Nott'ham Forest,N,['CM'],33,0,0,0,0,0,0,0,0,25.0,2.0,0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,20.0,60.0,2.0,12.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,Chris Basham,2023/2024,2023-08-27,Sun,Premier League,Matchweek 3,Home,L 1–2,Sheffield Utd,Manchester City,N,['CM'],11,0,0,0,0,0,0,0,0,3.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,Chris Basham,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Home,D 2–2,Sheffield Utd,Everton,N,['CB'],23,0,0,0,0,0,0,0,0,17.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,6.0,13.0,46.2,1.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,Oliver McBurnie,2023/2024,2023-08-27,Sun,Premier League,Matchweek 3,Home,L 1–2,Sheffield Utd,Manchester City,N,['FW'],20,0,0,0,0,1,0,0,0,11.0,0.0,0,0.0,0.0,0.0,0.3,1.0,0.0,2.0,8.0,25.0,0.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,Oliver McBurnie,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Home,D 2–2,Sheffield Utd,Everton,Y,['FW'],90,0,1,0,0,2,2,0,0,33.0,1.0,1,4.0,0.4,0.4,0.1,2.0,1.0,14.0,22.0,63.6,1.0,19.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
