,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,MP
11,Gabriel Dos Santos,br BRA,DF,25-264,3.0,1,116.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,
12,Oleksandr Zinchenko,ua UKR,DF,26-268,3.0,1,112.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,4.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches,
13,Jakub Kiwior,pl POL,DF,23-206,2.0,1,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.41,0.41,0.41,Matches,
14,Leandro Trossard,be BEL,"FW,MF",28-279,2.0,1,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,1.02,0.0,1.02,Matches,
15,Jurriën Timber,nl NED,DF,22-084,1.0,1,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,
16,Fabio Vieira,pt POR,MF,23-102,2.0,0,49.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,4.0,7.0,9.0,0.0,3.67,3.67,0.0,3.67,0.08,1.85,1.93,0.08,1.93,Matches,
17,Jorginho,it ITA,MF,31-263,3.0,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,
18,Gabriel Jesus,br BRA,"FW,MF",26-159,2.0,0,16.0,0.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0.0,0.9,2.0,1.0,2.0,5.63,0.0,5.63,5.63,5.63,5.06,0.11,5.18,5.06,5.18,Matches,
19,Reiss Nelson,eng ENG,FW,23-273,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,
0,Lewis Dunk,eng ENG,DF,31-292,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,13.0,36.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.08,0.06,0.08,Matches,
1,Pervis Estupiñán,ec ECU,DF,25-231,4.0,4,360.0,4.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,2.3,2.6,19.0,34.0,32.0,0.25,0.5,0.75,0.25,0.75,0.09,0.56,0.65,0.09,0.65,Matches,
2,Kaoru Mitoma,jp JPN,FW,26-112,4.0,4,350.0,3.9,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,1.4,2.2,28.0,11.0,60.0,0.26,0.77,1.03,0.26,1.03,0.2,0.37,0.56,0.2,0.56,Matches,
3,Pascal Groß,de GER,MF,32-086,4.0,4,348.0,3.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,1.1,1.7,7.0,45.0,25.0,0.26,0.0,0.26,0.26,0.26,0.17,0.28,0.45,0.17,0.45,Matches,
4,Solly March,eng ENG,FW,29-051,4.0,4,314.0,3.5,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.5,1.5,0.2,1.6,6.0,13.0,35.0,0.86,0.0,0.86,0.86,0.86,0.42,0.05,0.47,0.42,0.47,Matches,
5,Billy Gilmour,sct SCO,MF,22-090,4.0,3,242.0,2.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.5,4.0,25.0,4.0,0.0,0.37,0.37,0.0,0.37,0.08,0.09,0.17,0.08,0.17,Matches,
6,James Milner,eng ENG,DF,37-248,4.0,3,215.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,2.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,
7,Danny Welbeck,eng ENG,"FW,MF",32-287,3.0,3,192.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,6.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1,0.35,0.25,0.35,Matches,
8,João Pedro,br BRA,MF,21-348,4.0,2,228.0,2.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.8,1.0,0.2,1.2,11.0,9.0,27.0,0.39,0.0,0.39,0.0,0.0,0.7,0.06,0.77,0.39,0.45,Matches,
9,Evan Ferguson,ie IRL,FW,18-325,4.0,2,207.0,2.3,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.4,2.4,0.1,2.4,2.0,5.0,9.0,1.74,0.0,1.74,1.74,1.74,1.03,0.03,1.05,1.03,1.05,Matches,
10,Jan Paul van Hecke,nl NED,DF,23-093,2.0,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,
11,Jason Steele,eng ENG,GK,33-022,2.0,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,
12,Bart Verbruggen,nl NED,GK,21-022,2.0,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,
13,Adam Webster,eng ENG,DF,28-248,2.0,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,
14,Joël Veltman,nl NED,DF,31-237,4.0,1,155.0,1.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,5.0,1.0,0.0,0.58,0.58,0.0,0.58,0.04,0.01,0.05,0.04,0.05,Matches,
15,Mahmoud Dahoud,de GER,MF,27-251,3.0,1,97.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.2,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.12,0.16,0.04,0.16,Matches,
16,Julio César Enciso,py PAR,MF,19-229,2.0,1,69.0,0.8,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.7,0.9,5.0,0.0,5.0,0.0,2.61,2.61,0.0,2.61,0.26,0.96,1.22,0.26,1.22,Matches,
17,Adam Lallana,eng ENG,"MF,FW",35-122,3.0,0,51.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches,
18,Simon Adingra,ci CIV,"FW,MF",21-251,3.0,0,38.0,0.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.4,2.0,0.0,5.0,2.37,0.0,2.37,2.37,2.37,0.84,0.17,1.0,0.84,1.0,Matches,
19,Tariq Lamptey,gh GHA,FW,22-344,1.0,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,
0,Joachim Andersen,dk DEN,DF,27-101,,4,360.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,7.0,38.0,2.0,0.25,0.0,0.25,0.25,0.25,0.05,0.06,0.11,0.05,0.11,Matches,4.0
1,Jordan Ayew,gh GHA,FW,31-363,,4,360.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,1.0,1.9,13.0,8.0,39.0,0.0,0.5,0.5,0.0,0.5,0.23,0.26,0.48,0.23,0.48,Matches,4.0
2,Cheick Doucouré,ml MLI,MF,23-244,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,3.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,4.0
3,Eberechi Eze,eng ENG,"MF,FW",25-072,,4,360.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.7,1.7,0.8,2.6,13.0,13.0,25.0,0.25,0.0,0.25,0.25,0.25,0.44,0.21,0.64,0.44,0.64,Matches,4.0
4,Sam Johnstone,eng ENG,GK,30-168,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,4.0
5,Jefferson Lerma,co COL,MF,28-319,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.8,4.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.04,0.16,0.2,0.04,0.2,Matches,4.0
6,Tyrick Mitchell,eng ENG,DF,24-008,,4,360.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,2.0,9.0,25.0,0.0,0.25,0.25,0.0,0.25,0.01,0.12,0.14,0.01,0.14,Matches,4.0
7,Marc Guéhi,eng ENG,DF,23-058,,4,359.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,4.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Matches,4.0
8,Joel Ward,eng ENG,DF,33-315,,4,352.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,4.0
9,Odsonne Édouard,fr FRA,FW,25-236,,4,339.0,3.8,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.3,2.3,0.2,2.5,8.0,8.0,22.0,0.8,0.0,0.8,0.8,0.8,0.61,0.07,0.67,0.61,0.67,Matches,4.0
10,Jeffrey Schlupp,gh GHA,FW,30-260,,4,303.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.8,1.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.09,0.16,0.25,0.09,0.25,Matches,4.0
11,Jean-Philippe Mateta,fr FRA,FW,26-073,,0,40.0,0.4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,2.0,3.0,0.0,4.5,4.5,0.0,4.5,0.0,1.48,1.48,0.0,1.48,Matches,2.0
12,Naouirou Ahamada,fr FRA,"FW,MF",21-164,,0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2.0
13,Jesuran Rak Sakyi,eng ENG,DF,20-339,,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.27,1.09,1.36,0.27,1.36,Matches,1.0
14,Will Hughes,eng ENG,MF,28-145,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94,6.94,0.0,6.94,Matches,1.0
15,James Tomkins,eng ENG,DF,34-164,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,1.0
0,Mark Flekken,nl NED,GK,30-088,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,4.0
1,Rico Henry,eng ENG,DF,26-063,,4,360.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.0,1.1,12.0,18.0,11.0,0.0,0.25,0.25,0.0,0.25,0.02,0.24,0.26,0.02,0.26,Matches,4.0
2,Bryan Mbeumo,cm CMR,FW,24-033,,4,360.0,4.0,4.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,4.1,2.5,0.6,3.1,15.0,13.0,35.0,1.0,0.0,1.0,0.5,0.5,1.02,0.15,1.17,0.63,0.78,Matches,4.0
3,Ethan Pinnock,jm JAM,DF,30-103,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.8,1.4,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.14,0.21,0.35,0.14,0.35,Matches,4.0
4,Vitaly Janelt,de GER,MF,25-122,,4,340.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.4,1.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.12,0.07,0.12,Matches,4.0
5,Christian Nørgaard,dk DEN,MF,29-183,,4,329.0,3.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,0.0,26.0,9.0,0.0,0.27,0.27,0.0,0.27,0.05,0.09,0.13,0.05,0.13,Matches,4.0
6,Yoane Wissa,cd COD,FW,27-006,,4,329.0,3.7,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.4,2.4,0.1,2.5,6.0,4.0,20.0,0.55,0.0,0.55,0.55,0.55,0.65,0.02,0.67,0.65,0.67,Matches,4.0
7,Aaron Hickey,sct SCO,DF,21-091,,4,319.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.1,3.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,4.0
8,Mathias Jensen,dk DEN,MF,27-251,,4,288.0,3.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.7,0.9,2.0,12.0,7.0,0.31,0.0,0.31,0.31,0.31,0.04,0.23,0.27,0.04,0.27,Matches,4.0
9,Nathan Collins,ie IRL,DF,22-132,,3,280.0,3.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.7,1.0,7.0,3.0,0.0,0.32,0.32,0.0,0.32,0.05,0.18,0.23,0.05,0.23,Matches,4.0
10,Kevin Schade,de GER,FW,21-286,,3,238.0,2.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.1,2.0,9.0,15.0,0.38,0.0,0.38,0.38,0.38,0.27,0.16,0.43,0.27,0.43,Matches,4.0
11,Kristoffer Ajer,no NOR,DF,25-145,,1,95.0,1.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.3,2.0,5.0,4.0,0.0,0.95,0.95,0.0,0.95,0.29,0.91,1.2,0.29,1.2,Matches,3.0
12,Ben Mee,eng ENG,DF,33-353,,1,80.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches,1.0
13,Mikkel Damsgaard,dk DEN,"MF,FW",23-068,,0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,2.0
14,Keane Lewis-Potter,eng ENG,"FW,MF",22-199,,0,51.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,1.29,1.29,1.29,Matches,3.0
15,Frank Onyeka,ng NGA,MF,25-251,,0,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,1.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.64,1.64,2.28,0.64,2.28,Matches,2.0
16,Mads Roerslev,dk DEN,DF,24-077,,0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,2.0
17,Shandon Baptiste,gd GRN,MF,25-154,,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,1.0
18,Josh Dasilva,eng ENG,MF,24-321,,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,1.0
19,Michael Olakigbe,eng ENG,MF,19-137,,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.23,0.23,0.23,Matches,1.0
20,Mathias Jørgensen,dk DEN,DF,33-139,,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48,4.48,0.0,4.48,Matches,1.0
0,Morgan Gibbs-White,eng ENG,"MF,FW",23-225,4.0,4,360.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,1.1,1.5,9.0,14.0,16.0,0.0,0.25,0.25,0.0,0.25,0.1,0.28,0.39,0.1,0.39,Matches,
1,Matt Turner,us USA,GK,29-077,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,
2,Serge Aurier,ci CIV,"DF,MF",30-259,4.0,4,341.0,3.8,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.4,5.0,18.0,14.0,0.0,0.53,0.53,0.0,0.53,0.0,0.11,0.12,0.0,0.12,Matches,
3,Willy Boly,ci CIV,DF,32-218,4.0,4,338.0,3.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.3,1.1,1.0,5.0,1.0,0.27,0.0,0.27,0.27,0.27,0.22,0.07,0.29,0.22,0.29,Matches,
4,Joe Worrall,eng ENG,DF,26-242,4.0,4,335.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.2,0.3,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08,Matches,
5,Scott McKenna,sct SCO,DF,26-301,4.0,4,326.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,Matches,
6,Danilo,br BRA,"MF,FW",22-133,4.0,4,283.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Matches,
7,Ryan Yates,eng ENG,"MF,DF",25-292,4.0,3,292.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,
8,Taiwo Awoniyi,ng NGA,FW,26-028,4.0,3,247.0,2.7,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.8,1.8,0.5,2.3,3.0,6.0,11.0,1.09,0.36,1.46,1.09,1.46,0.65,0.18,0.83,0.65,0.83,Matches,
9,Brennan Johnson,wls WAL,"FW,MF",22-109,3.0,3,237.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,8.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.12,0.08,0.21,0.12,0.21,Matches,
10,Ola Aina,ng NGA,"DF,MF",26-336,3.0,3,233.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,
11,Orel Mangala,be BEL,MF,25-175,3.0,3,228.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,
12,Neco Williams,wls WAL,"MF,DF",22-149,2.0,1,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.04,Matches,
13,Anthony Elanga,se SWE,"MF,FW",21-135,4.0,0,89.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,1.2,8.0,2.0,7.0,1.01,1.01,2.02,1.01,2.02,0.56,0.66,1.21,0.56,1.21,Matches,
14,Chris Wood,nz NZL,FW,31-276,4.0,0,44.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,1.0,1.0,0.0,2.05,0.0,2.05,2.05,2.05,0.24,0.14,0.38,0.24,0.38,Matches,
15,Cheikhou Kouyaté,sn SEN,MF,33-262,4.0,0,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.15,0.05,0.15,Matches,
16,Moussa Niakhate,sn SEN,"DF,FW",27-185,2.0,0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,
17,Gonzalo Montiel,ar ARG,DF,26-251,1.0,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,
18,Nuno Tavares,pt POR,DF,23-226,1.0,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,
0,Boubacar Kamara,fr FRA,MF,23-290,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.4,4.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.1,0.01,0.1,Matches,4.0
1,Ezri Konsa,eng ENG,DF,25-321,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,4.0
2,Matty Cash,pl POL,DF,26-033,,4,356.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.1,2.1,0.1,2.2,7.0,9.0,9.0,0.51,0.0,0.51,0.51,0.51,0.53,0.03,0.55,0.53,0.55,Matches,4.0
3,Lucas Digne,fr FRA,DF,30-051,,4,350.0,3.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.8,0.8,5.0,10.0,37.0,0.0,0.26,0.26,0.0,0.26,0.01,0.2,0.21,0.01,0.21,Matches,4.0
4,John McGinn,sct SCO,"MF,FW",28-326,,4,333.0,3.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,1.1,5.0,21.0,14.0,0.27,0.0,0.27,0.27,0.27,0.2,0.08,0.29,0.2,0.29,Matches,4.0
5,Ollie Watkins,eng ENG,FW,27-253,,4,320.0,3.6,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.8,1.8,1.3,3.1,5.0,3.0,18.0,0.0,0.56,0.56,0.0,0.56,0.5,0.37,0.86,0.5,0.86,Matches,4.0
6,Moussa Diaby,fr FRA,"MF,FW",24-064,,4,311.0,3.5,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.9,0.9,1.5,2.3,12.0,12.0,21.0,0.58,0.29,0.87,0.58,0.87,0.25,0.42,0.67,0.25,0.67,Matches,4.0
7,Douglas Luiz,br BRA,MF,25-123,,4,309.0,3.4,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.2,0.4,0.6,7.0,21.0,6.0,0.29,0.0,0.29,0.0,0.0,0.28,0.11,0.39,0.05,0.16,Matches,4.0
8,Pau Torres,es ESP,DF,26-236,,3,330.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,4.0
9,Emiliano Martínez,ar ARG,GK,31-007,,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,3.0
10,Diego Carlos,br BRA,DF,30-178,,2,162.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21,Matches,4.0
