,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,MP
21,James Mcatee,eng ENG,MF,20-326,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,
0,Micky van de Ven,nl NED,DF,22-143,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,
1,Guglielmo Vicario,it ITA,GK,26-337,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,
2,Dejan Kulusevski,se SWE,FW,23-137,4.0,4,352.0,3.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.4,0.9,20.0,10.0,39.0,0.26,0.0,0.26,0.26,0.26,0.12,0.11,0.22,0.12,0.22,Matches,
3,Yves Bissouma,ml MLI,MF,27-010,4.0,4,343.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,11.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,Matches,
4,James Maddison,eng ENG,MF,26-290,4.0,4,337.0,3.7,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.6,1.6,1.1,2.7,10.0,38.0,30.0,0.53,0.53,1.07,0.53,1.07,0.43,0.3,0.73,0.43,0.73,Matches,
5,Destiny Udogie,it ITA,DF,20-285,4.0,4,330.0,3.7,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.6,0.6,16.0,19.0,19.0,0.0,0.55,0.55,0.0,0.55,0.02,0.15,0.17,0.02,0.17,Matches,
6,Son Heung-min,kr KOR,FW,31-063,4.0,4,325.0,3.6,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.4,1.4,0.9,2.3,13.0,24.0,42.0,0.83,0.0,0.83,0.83,0.83,0.39,0.25,0.64,0.39,0.64,Matches,
7,Cristian Romero,ar ARG,DF,25-135,4.0,4,283.0,3.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,1.0,11.0,0.0,0.64,0.0,0.64,0.64,0.64,0.23,0.0,0.23,0.23,0.23,Matches,
8,Pedro Porro,es ESP,DF,23-361,3.0,3,267.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.0,1.4,7.0,9.0,6.0,0.0,0.34,0.34,0.0,0.34,0.13,0.33,0.46,0.13,0.46,Matches,
9,Richarlison,br BRA,FW,26-122,4.0,3,237.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.5,3.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.17,0.01,0.18,0.17,0.18,Matches,
10,Pape Matar Sarr,sn SEN,MF,20-360,4.0,3,216.0,2.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,0.7,1.9,5.0,17.0,7.0,0.42,0.42,0.83,0.42,0.83,0.5,0.31,0.81,0.5,0.81,Matches,
11,Emerson,br BRA,DF,24-238,3.0,1,98.0,1.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,3.0,0.92,0.0,0.92,0.92,0.92,0.03,0.0,0.03,0.03,0.03,Matches,
12,Oliver Skipp,eng ENG,MF,22-358,3.0,1,97.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,
13,Manor Solomon,il ISR,FW,24-047,2.0,1,70.0,0.8,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,5.0,1.0,9.0,0.0,2.57,2.57,0.0,2.57,0.15,0.64,0.79,0.15,0.79,Matches,
14,Ivan Perišić,hr CRO,FW,34-219,4.0,0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.7,11.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.03,0.68,0.71,0.03,0.71,Matches,
15,Davinson Sánchez,co COL,DF,27-089,1.0,0,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,
16,Pierre Højbjerg,dk DEN,MF,28-035,3.0,0,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,
17,Ben Davies,wls WAL,DF,30-138,2.0,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,1.67,1.67,1.67,Matches,
18,Giovani Lo Celso,ar ARG,MF,27-153,1.0,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.16,Matches,
0,Alisson,br BRA,GK,30-342,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,4.0
